"Table name
","Statecode
","Disttcode
",Areaname,Total/,Educational level,"Present age
",Total women ,Total ever married women,0,1,2,3,4,5,6,7+,P,M,F
F0324,24,000,State -  GUJARAT,Rural,Illiterate,40-44,585661,581461,28795,38654,107125,145241,115281,69546,39245,37574,2027518,1059299,968219
F0324,24,000,State -  GUJARAT,Rural,Illiterate,45-49,549746,546649,27604,38928,98110,131807,106212,65509,37973,40506,1932248,1023457,908791
F0324,24,000,State -  GUJARAT,Rural,Illiterate,50-54,482819,480157,26483,32322,77883,109428,95824,61200,36098,40919,1748474,932280,816194
F0324,24,000,State -  GUJARAT,Rural,Illiterate,55-59,411286,409473,23875,27134,58654,84649,82328,56414,34785,41634,1550767,828547,722220
F0324,24,000,State -  GUJARAT,Rural,Illiterate,60-64,394250,391858,26591,26176,48652,69385,75563,57786,38908,48797,1545545,823193,722352
F0324,24,000,State -  GUJARAT,Rural,Illiterate,65-69,297928,295968,20818,18248,31299,44984,53892,46087,33865,46775,1239791,660338,579453
F0324,24,000,State -  GUJARAT,Rural,Illiterate,70-74,244621,242891,19168,15028,22806,31481,39901,37566,30355,46586,1059119,564232,494887
F0324,24,000,State -  GUJARAT,Rural,Illiterate,75-79,119889,119175,9122,6934,9971,13448,17629,18376,15981,27714,549565,293575,255990
F0324,24,000,State -  GUJARAT,Rural,Illiterate,80+,157645,154909,13159,9441,12739,16234,20837,21495,20315,40689,730034,388879,341155
F0324,24,000,State -  GUJARAT,Rural,Literate,All Ages,8953199,4816539,905993,819638,1363960,921804,456074,191806,84478,72786,10174755,5390643,4784112
F0324,24,000,State -  GUJARAT,Rural,Literate,Less than 15,2544350,44755,35776,2363,6616,0,0,0,0,0,15595,8652,6943
F0324,24,000,State -  GUJARAT,Rural,Literate,15-19,1405390,266767,205574,42065,11176,4028,3924,0,0,0,92197,49391,42806
F0324,24,000,State -  GUJARAT,Rural,Literate,20-24,1146534,781883,321387,257859,149306,37938,8971,2460,1235,2727,746604,390193,356411
